Province,Province_eng
กำแพงเพชร,Kamphaeng Phet
เชียงราย,Chiang Rai
เชียงใหม่,Chiang Mai
ตาก,Tak
นครสวรรค์,Nakhon Sawan
น่าน,Nan
พิจิตร,Phichit
พิษณุโลก,Phitsanulok
เพชรบูรณ์,Phetchabun
แพร่,Phrae
แม่ฮ่องสอน,Mae Hong Son
ลำปาง,Lampang
ลำพูน,Lamphun
สุโขทัย,Sukhothai
อุตรดิตถ์,Uttaradit
อุทัยธานี,Uthai Thani
พะเยา,Phayao
กรุงเทพมหานครฯ,Bangkok
กาญจนบุรี,Kanchanaburi
จันทบุรี,Chanthaburi
ฉะเชิงเทรา,Chachoengsao
ชลบุรี,Chon Buri
ชัยนาท,Chai Nat
ตราด,Trat
นครนายก,Nakhon Nayok
นครปฐม,Nakhon Pathom
นนทบุรี,Nonthaburi
ปทุมธานี,Pathum Thani
ประจวบคีรีขันธ์,Prachuap Khiri Khan
ปราจีนบุรี,Prachin Buri
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
เพชรบุรี,Phetchaburi
ระยอง,Rayong
ราชบุรี,Ratchaburi
ลพบุรี,Lop Buri
สมุทรปราการ,Samut Prakan
สมุทรสงคราม,Samut Songkhram
สมุทรสาคร,Samut Sakhon
สระบุรี,Saraburi
สิงห์บุรี,Sing Buri
สุพรรณบุรี,Suphan Buri
อ่างทอง,Ang Thong
สระแก้ว,Sa Kaeo
กาฬสินธุ์,Kalasin
ขอนแก่น,Khon Kaen
ชัยภูมิ,Chaiyaphum
ยโสธร,Yasothon
นครพนม,Nakhon Phanom
นครราชสีมา,Nakhon Ratchasima
บุรีรัมย์,Buri Ram
มหาสารคาม,Maha Sarakham
ร้อยเอ็ด,Roi Et
เลย,Loei
ศรีสะเกษ,Si Sa Ket
สกลนคร,Sakon Nakhon
สุรินทร์,Surin
หนองคาย,Nong Khai
อุดรธานี,Udon Thani
อุบลราชธานี,Ubon Ratchathani
มุกดาหาร,Mukdahan
อำนาจเจริญ,Amnat Charoen
หนองบัวลำภู,Nong Bua Lam Phu
กระบี่,Krabi
ชุมพร,Chumphon
ตรัง,Trang
นครศรีธรรมราช,Nakhon Si Thammarat
นราธิวาส,Narathiwat
ปัตตานี,Pattani
พังงา,Phangnga
พัทลุง,Phatthalung
ภูเก็ต,Phuket
ยะลา,Yala
ระนอง,Ranong
สงขลา,Songkhla
สตูล,Satun
สุราษฎร์ธานี,Surat Thani
